Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,98138H101,WDAY ,"1,950,156","365,381,228.16",0.317,Workday Inc,Common Stock,Information Technology,06/30/2020
QQQ,N6596X109,NXPI ,"3,127,320","356,639,572.80",0.310,NXP Semiconductors NV,Common Stock,Information Technology,06/30/2020
QQQ,64110W102,NTES ,"830,261","356,497,468.18",0.309,NetEase Inc ADR,American Depository Receipt,Communication Services,06/30/2020
QQQ,848637104,SPLK ,"1,780,179","353,721,567.30",0.307,Splunk Inc,Common Stock,Information Technology,06/30/2020
QQQ,256163106,DOCU ,"2,052,451","353,452,586.71",0.307,DocuSign Inc,Common Stock,Information Technology,06/30/2020
QQQ,67103H107,ORLY ,"831,895","350,785,164.65",0.305,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,192446102,CTSH ,"6,058,541","344,246,299.62",0.299,Cognizant Technology Solutions Corp,Common Stock,Information Technology,06/30/2020
QQQ,778296103,ROST ,"3,982,966","339,508,021.84",0.295,Ross Stores Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,482480100,KLAC ,"1,737,675","337,943,034.00",0.293,KLA Corp,Common Stock,Information Technology,06/30/2020
QQQ,812578102,SGEN ,"1,940,074","329,657,374.08",0.286,Seattle Genetics Inc,Common Stock,Health Care,06/30/2020
QQQ,871607107,SNPS ,"1,689,993","329,548,635.00",0.286,Synopsys Inc,Common Stock,Information Technology,06/30/2020
QQQ,N07059210,ASML ,"861,414","317,026,194.42",0.275,ASML Holding NV,American Depository Receipt - NY,Information Technology,06/30/2020
QQQ,45168D104,IDXX ,"951,948","314,295,151.68",0.273,IDEXX Laboratories Inc,Common Stock,Health Care,06/30/2020
QQQ,571903202,MAR ,"3,634,156","311,556,193.88",0.270,Marriott International Inc/MD,Common Stock,Consumer Discretionary,06/30/2020
QQQ,22160N109,CSGP ,"437,279","310,761,066.93",0.270,CoStar Group Inc,Common Stock,Industrials,06/30/2020
QQQ,172908105,CTAS ,"1,166,211","310,631,961.96",0.270,Cintas Corp,Common Stock,Industrials,06/30/2020
QQQ,92345Y106,VRSK ,"1,818,543","309,516,018.60",0.269,Verisk Analytics Inc,Common Stock,Industrials,06/30/2020
QQQ,704326107,PAYX ,"4,020,271","304,535,528.25",0.264,Paychex Inc,Common Stock,Information Technology,06/30/2020
QQQ,127387108,CDNS ,"3,128,990","300,257,880.40",0.261,Cadence Design Systems Inc,Common Stock,Information Technology,06/30/2020
QQQ,693718108,PCAR ,"3,874,768","290,026,384.80",0.252,PACCAR Inc,Common Stock,Industrials,06/30/2020
QQQ,595017104,MCHP ,"2,749,605","289,560,902.55",0.251,Microchip Technology Inc,Common Stock,Information Technology,06/30/2020
QQQ,82968B103,SIRI ,"49,079,272","288,095,326.64",0.250,Sirius XM Holdings Inc,Common Stock,Communication Services,06/30/2020
QQQ,03662Q105,ANSS ,"959,335","279,866,799.55",0.243,ANSYS Inc,Common Stock,Information Technology,06/30/2020
QQQ,015351109,ALXN ,"2,474,935","277,786,704.40",0.241,Alexion Pharmaceuticals Inc,Common Stock,Health Care,06/30/2020
QQQ,311900104,FAST ,"6,419,946","275,030,486.64",0.239,Fastenal Co,Common Stock,Industrials,06/30/2020
QQQ,983919101,XLNX ,"2,725,219","268,134,297.41",0.233,Xilinx Inc,Common Stock,Information Technology,06/30/2020
QQQ,92343E102,VRSN ,"1,294,947","267,833,888.01",0.233,VeriSign Inc,Common Stock,Information Technology,06/30/2020
QQQ,45337C102,INCY ,"2,436,195","253,291,194.15",0.220,Incyte Corp,Common Stock,Health Care,06/30/2020
QQQ,09061G101,BMRN ,"2,026,707","249,974,041.38",0.217,BioMarin Pharmaceutical Inc,Common Stock,Health Care,06/30/2020
QQQ,256746108,DLTR ,"2,658,750","246,412,950.00",0.214,Dollar Tree Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,016255101,ALGN ,"882,717","242,252,853.48",0.210,Align Technology Inc,Common Stock,Health Care,06/30/2020
QQQ,83088M102,SWKS ,"1,869,816","239,074,673.76",0.208,Skyworks Solutions Inc,Common Stock,Information Technology,06/30/2020
QQQ,156782104,CERN ,"3,411,048","233,827,340.40",0.203,Cerner Corp,Common Stock,Health Care,06/30/2020
QQQ,217204106,CPRT ,"2,631,245","219,103,771.15",0.190,Copart Inc,Common Stock,Industrials,06/30/2020
QQQ,177376100,CTXS ,"1,383,524","204,637,034.84",0.178,Citrix Systems Inc,Common Stock,Information Technology,06/30/2020
QQQ,12514G108,CDW ,"1,595,049","185,312,792.82",0.161,CDW Corp/DE,Common Stock,Information Technology,06/30/2020
QQQ,57772K101,MXIM ,"2,988,180","181,113,589.80",0.157,Maxim Integrated Products Inc,Common Stock,Information Technology,06/30/2020
QQQ,874054109,TTWO ,"1,277,067","178,240,241.19",0.155,Take-Two Interactive Software Inc,Common Stock,Communication Services,06/30/2020
QQQ,M22465104,CHKP ,"1,602,566","172,163,665.38",0.149,Check Point Software Technologies Ltd,Common Stock,Information Technology,06/30/2020
QQQ,89677Q107,TCOM ,"5,861,323","151,925,492.16",0.132,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,06/30/2020
QQQ,958102105,WDC ,"3,358,917","148,296,185.55",0.129,Western Digital Corp,Common Stock,Information Technology,06/30/2020
QQQ,90384S303,ULTA ,"631,085","128,375,310.70",0.111,Ulta Beauty Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,30212P303,EXPE ,"1,518,200","124,796,040.00",0.108,Expedia Group Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,64110D104,NTAP ,"2,478,863","109,987,151.31",0.095,NetApp Inc,Common Stock,Information Technology,06/30/2020
QQQ,35137L105,FOXA ,"3,840,250","102,995,505.00",0.089,Fox Corp,Common Stock,Communication Services,06/30/2020
QQQ,G5480U120,LBTYK ,"4,612,572","99,216,423.72",0.086,Liberty Global PLC,Common Stock,Communication Services,06/30/2020
QQQ,35137L204,FOX ,"2,926,071","78,535,745.64",0.068,Fox Corp,Common Stock,Communication Services,06/30/2020
QQQ,G5480U104,LBTYA ,"2,042,685","44,653,094.10",0.039,Liberty Global PLC,Common Stock,Communication Services,06/30/2020
